,LOCATION_DESC,STATE_ANSI,COUNTY_ANSI,VALUE,ANSI
1,"TEXAS, SOUTHERN HIGH PLAINS, LYNN",48,305,341500,48305
2,"TEXAS, SOUTHERN HIGH PLAINS, DAWSON",48,115,330500,48115
3,"TEXAS, SOUTHERN HIGH PLAINS, GAINES",48,165,292500,48165
4,"TEXAS, SOUTHERN HIGH PLAINS, HOCKLEY",48,219,259000,48219
5,"TEXAS, SOUTHERN HIGH PLAINS, TERRY",48,445,254000,48445
6,"TEXAS, SOUTHERN HIGH PLAINS, LUBBOCK",48,303,227000,48303
7,"TEXAS, SOUTHERN HIGH PLAINS, CROSBY",48,107,218000,48107
8,"TEXAS, NORTHERN HIGH PLAINS, FLOYD",48,153,183000,48153
9,"TEXAS, NORTHERN HIGH PLAINS, HALE",48,189,145000,48189
10,"TEXAS, SOUTHERN HIGH PLAINS, LAMB",48,279,139500,48279
11,"TEXAS, SOUTHERN HIGH PLAINS, YOAKUM",48,501,129000,48501
12,"TEXAS, COASTAL BEND, NUECES",48,355,125500,48355
13,"OKLAHOMA, SOUTHWEST, JACKSON",40,065,121000,40065
15,"TEXAS, SOUTHERN HIGH PLAINS, COCHRAN",48,079,113000,48079
16,"TEXAS, EDWARDS PLATEAU, TOM GREEN",48,451,111000,48451
17,"MISSOURI, SOUTHEAST, DUNKLIN",29,069,110000,29069
18,"ARKANSAS, NORTHEAST, MISSISSIPPI",05,093,109000,05093
19,"TEXAS, SOUTHERN HIGH PLAINS, GLASSCOCK",48,173,106500,48173
21,"MISSOURI, SOUTHEAST, NEW MADRID",29,143,99500,29143
22,"TEXAS, COASTAL BEND, SAN PATRICIO",48,409,94400,48409
23,"TEXAS, SOUTHERN LOW PLAINS, FISHER",48,151,90500,48151
24,"TEXAS, SOUTHERN LOW PLAINS, JONES",48,253,78500,48253
25,"TEXAS, NORTHERN LOW PLAINS, HALL",48,191,77200,48191
26,"MISSOURI, SOUTHEAST, STODDARD",29,207,76000,29207
27,"TEXAS, SOUTHERN LOW PLAINS, SCURRY",48,415,70900,48415
28,"ARKANSAS, NORTHEAST, CRAIGHEAD",05,031,67300,05031
29,"GEORGIA, SOUTH CENTRAL, DOOLY",13,093,66800,13093
30,"OKLAHOMA, SOUTHWEST, TILLMAN",40,141,66000,40141
31,"TEXAS, NORTHERN LOW PLAINS, COLLINGSWORTH",48,087,62700,48087
34,"TEXAS, LOWER VALLEY, WILLACY",48,489,60200,48489
35,"MISSISSIPPI, UPPER DELTA, COAHOMA",28,027,58700,28027
36,"TEXAS, NORTHERN HIGH PLAINS, SWISHER",48,437,56100,48437
37,"TEXAS, UPPER COAST, WHARTON",48,481,54400,48481
39,"GEORGIA, SOUTH CENTRAL, WORTH",13,321,51500,13321
40,"TEXAS, NORTHERN LOW PLAINS, CHILDRESS",48,075,51200,48075
41,"TENNESSEE, WEST TENNESSEE, HAYWOOD",47,075,51000,47075
42,"TEXAS, EDWARDS PLATEAU, REAGAN",48,383,50600,48383
